Incident No,Date Occurred,Site,Actual Severity,Potential Severity,Source (Corrective/Suggestion),Action Item Text
1,2024-01-02T00:00:00.000Z,MAIN OFFICE,1,2,Corrective Actions,Basic first aid provided.
1,2024-01-02T00:00:00.000Z,MAIN OFFICE,1,2,Corrective Actions,"Informed cleanign lady to pay attention and to not rush, as rushing can only cause accidents and result in further delays."
1,2024-01-02T00:00:00.000Z,MAIN OFFICE,1,2,Suggestions,.Regular health check-ups for staff to ensure they are fit for their duties
1,2024-01-02T00:00:00.000Z,MAIN OFFICE,1,2,Suggestions,".Regularly inspect the work environment for potential hazards, including loose cables and other trip hazards."
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Corrective Actions,Stop work for safety stand down
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Corrective Actions,Wrench was immediately removed from site ( No more used)
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,.Ensure an adequate supply of BA rings and GA pins for all Impact Wrenches in TPS.
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,.Provide initiation training / awareness sessions based on the Manufacturer Instructional Manual for Impact Wrench users.
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,".Provide trainings to relevant personnel on LOTO Procedures, Housekeeping and works in process areas."
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,.Include hand-held tools and their manufacturer instructional manuals in risk assessments.
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,Integrate impact wrenches and other hand-held tools into the CMMS for regular maintenance.
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,".Ensure adequate resourcing for each specific task, including qualified job supervision."
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,.Notify the vendor / manufacturer about discrepancies in safety information in the Manufacturer Instruction Manual.
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,.Boost the implementation of a monitoring system for tool purchases and encourage timely registration in the warehouse.
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,.Enhance HSSE considerations throughout the supply chain process.
2,2024-02-09T00:00:00.000Z,CERCINA,3,3,Suggestions,.Strengthen QA/QC processes for purchased tools.
3,2024-03-04T00:00:00.000Z,CERCINA,1,1,Corrective Actions,Open the gas valve.
3,2024-03-04T00:00:00.000Z,CERCINA,1,1,Suggestions,Mark (signal) the valve to avoid error close.
4,2024-04-01T00:00:00.000Z,EL AIN,1,1,Corrective Actions,Avoid move of forklift on electrical cabels
4,2024-04-01T00:00:00.000Z,EL AIN,1,1,Corrective Actions,istruct the forklift operator to change the trajectory
